,remaining State,end_statement
0,Alabama,You got 0 correct.
1,Alaska,You got 0 correct.
2,Arizona,You got 0 correct.
3,Arkansas,You got 0 correct.
4,California,You got 0 correct.
5,Colorado,You got 0 correct.
6,Connecticut,You got 0 correct.
7,Delaware,You got 0 correct.
8,Florida,You got 0 correct.
9,Georgia,You got 0 correct.
10,Hawaii,You got 0 correct.
11,Idaho,You got 0 correct.
12,Illinois,You got 0 correct.
13,Indiana,You got 0 correct.
14,Iowa,You got 0 correct.
15,Kansas,You got 0 correct.
16,Kentucky,You got 0 correct.
17,Louisiana,You got 0 correct.
18,Maine,You got 0 correct.
19,Maryland,You got 0 correct.
20,Massachusetts,You got 0 correct.
21,Michigan,You got 0 correct.
22,Minnesota,You got 0 correct.
23,Mississippi,You got 0 correct.
24,Missouri,You got 0 correct.
25,Montana,You got 0 correct.
26,Nebraska,You got 0 correct.
27,Nevada,You got 0 correct.
28,New Hampshire,You got 0 correct.
29,New Jersey,You got 0 correct.
30,New Mexico,You got 0 correct.
31,New York,You got 0 correct.
32,North Carolina,You got 0 correct.
33,North Dakota,You got 0 correct.
34,Ohio,You got 0 correct.
35,Oklahoma,You got 0 correct.
36,Oregon,You got 0 correct.
37,Pennsylvania,You got 0 correct.
38,Rhode Island,You got 0 correct.
39,South Carolina,You got 0 correct.
40,South Dakota,You got 0 correct.
41,Tennessee,You got 0 correct.
42,Texas,You got 0 correct.
43,Utah,You got 0 correct.
44,Vermont,You got 0 correct.
45,Virginia,You got 0 correct.
46,Washington,You got 0 correct.
47,West Virginia,You got 0 correct.
48,Wisconsin,You got 0 correct.
49,Wyoming,You got 0 correct.
